stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore	gene
9606.ENSP00000246554	9606.ENSP00000266544	COX6B1	NDUFA9	9606	0.919	0.0	0.0	0.0	0.332	0.832	0.0	0.335	COX4I2
9606.ENSP00000246554	9606.ENSP00000266544	COX6B1	NDUFA9	9606	0.919	0.0	0.0	0.0	0.332	0.832	0.0	0.335	COX4I2
9606.ENSP00000246554	9606.ENSP00000365243	COX6B1	COX4I2	9606	0.96	0.0	0.0	0.0	0.24	0.71	0.54	0.654	COX4I2
9606.ENSP00000246554	9606.ENSP00000365243	COX6B1	COX4I2	9606	0.96	0.0	0.0	0.0	0.24	0.71	0.54	0.654	COX4I2
9606.ENSP00000246554	9606.ENSP00000268379	COX6B1	UQCRC2	9606	0.979	0.0	0.0	0.0	0.251	0.91	0.54	0.425	COX4I2
9606.ENSP00000246554	9606.ENSP00000268379	COX6B1	UQCRC2	9606	0.979	0.0	0.0	0.0	0.251	0.91	0.54	0.425	COX4I2
9606.ENSP00000246554	9606.ENSP00000317159	COX6B1	CYC1	9606	0.98	0.0	0.0	0.0	0.675	0.788	0.54	0.457	COX4I2
9606.ENSP00000246554	9606.ENSP00000317159	COX6B1	CYC1	9606	0.98	0.0	0.0	0.0	0.675	0.788	0.54	0.457	COX4I2
9606.ENSP00000246554	9606.ENSP00000306397	COX6B1	UQCRFS1	9606	0.99	0.0	0.0	0.0	0.689	0.887	0.54	0.501	COX4I2
9606.ENSP00000246554	9606.ENSP00000306397	COX6B1	UQCRFS1	9606	0.99	0.0	0.0	0.0	0.689	0.887	0.54	0.501	COX4I2
9606.ENSP00000246554	9606.ENSP00000307786	COX6B1	CYCS	9606	0.992	0.0	0.0	0.0	0.346	0.78	0.9	0.513	COX4I2
9606.ENSP00000246554	9606.ENSP00000307786	COX6B1	CYCS	9606	0.992	0.0	0.0	0.0	0.346	0.78	0.9	0.513	COX4I2
9606.ENSP00000246554	9606.ENSP00000354499	COX6B1	MT-CO1	9606	0.995	0.0	0.0	0.0	0.063	0.949	0.8	0.615	COX4I2
9606.ENSP00000246554	9606.ENSP00000354499	COX6B1	MT-CO1	9606	0.995	0.0	0.0	0.0	0.063	0.949	0.8	0.615	COX4I2
9606.ENSP00000246554	9606.ENSP00000287490	COX6B1	COX6A2	9606	0.996	0.0	0.0	0.0	0.755	0.788	0.54	0.868	COX4I2
9606.ENSP00000246554	9606.ENSP00000287490	COX6B1	COX6A2	9606	0.996	0.0	0.0	0.0	0.755	0.788	0.54	0.868	COX4I2
9606.ENSP00000246554	9606.ENSP00000428895	COX6B1	COX6C	9606	0.999	0.0	0.0	0.0	0.771	0.966	0.8	0.793	COX4I2
9606.ENSP00000246554	9606.ENSP00000428895	COX6B1	COX6C	9606	0.999	0.0	0.0	0.0	0.771	0.966	0.8	0.793	COX4I2
9606.ENSP00000246554	9606.ENSP00000317780	COX6B1	COX5A	9606	0.999	0.0	0.0	0.0	0.871	0.975	0.8	0.824	COX4I2
9606.ENSP00000246554	9606.ENSP00000317780	COX6B1	COX5A	9606	0.999	0.0	0.0	0.0	0.871	0.975	0.8	0.824	COX4I2
9606.ENSP00000266544	9606.ENSP00000287490	NDUFA9	COX6A2	9606	0.906	0.0	0.0	0.0	0.815	0.427	0.0	0.187	COX4I2
9606.ENSP00000266544	9606.ENSP00000287490	NDUFA9	COX6A2	9606	0.906	0.0	0.0	0.0	0.815	0.427	0.0	0.187	COX4I2
9606.ENSP00000266544	9606.ENSP00000354499	NDUFA9	MT-CO1	9606	0.936	0.0	0.0	0.0	0.114	0.7	0.0	0.778	COX4I2
9606.ENSP00000266544	9606.ENSP00000354499	NDUFA9	MT-CO1	9606	0.936	0.0	0.0	0.0	0.114	0.7	0.0	0.778	COX4I2
9606.ENSP00000266544	9606.ENSP00000365243	NDUFA9	COX4I2	9606	0.943	0.0	0.0	0.0	0.24	0.788	0.0	0.679	COX4I2
9606.ENSP00000266544	9606.ENSP00000365243	NDUFA9	COX4I2	9606	0.943	0.0	0.0	0.0	0.24	0.788	0.0	0.679	COX4I2
9606.ENSP00000266544	9606.ENSP00000317780	NDUFA9	COX5A	9606	0.991	0.0	0.0	0.0	0.87	0.865	0.0	0.576	COX4I2
9606.ENSP00000266544	9606.ENSP00000317780	NDUFA9	COX5A	9606	0.991	0.0	0.0	0.0	0.87	0.865	0.0	0.576	COX4I2
9606.ENSP00000266544	9606.ENSP00000317159	NDUFA9	CYC1	9606	0.992	0.0	0.0	0.205	0.893	0.884	0.0	0.355	COX4I2
9606.ENSP00000266544	9606.ENSP00000317159	NDUFA9	CYC1	9606	0.992	0.0	0.0	0.205	0.893	0.884	0.0	0.355	COX4I2
